BaseId , SketchId , Generalization Type,,,,,,,,
0,S0,No generalization,,,,,,,,
1,S1,No generalization,,,,,,,,
2 4,S2,OmissionMerge,,,,,,,,
5,S3,RoundAboutCollapse,,,,,,,,
6,S4,No generalization,,,,,,,,
7,S5,No generalization,,,,,,,,
10,S7,No generalization,,,,,,,,
11,S8,No generalization,,,,,,,,
12,S9,No generalization,,,,,,,,
13 15 17,S10,OmissionMerge,,,,,,,,
21,S14,No generalization,,,,,,,,
23,S16,No generalization,,,,,,,,
25,S18,JunctionMerge,,,,,,,,
27,S19,JunctionMerge,,,,,,,,
34,S23,RoundAboutCollapse,,,,,,,,
38,S24,No generalization,,,,,,,,
59,S25,No generalization,,,,,,,,
57,S26,No generalization,,,,,,,,
39,S27,No generalization,,,,,,,,
55,S28,No generalization,,,,,,,,
51,S31,No generalization,,,,,,,,
49,S32,No generalization,,,,,,,,
50,S33,No generalization,,,,,,,,
37,S35,No generalization,,,,,,,,
42 41 40 46 45 44 43,S38 S37 S36,Abstraction to show existence,,,,,,,,
56,S34,No generalization,,,,,,,,
8 9,S6,OmissionMerge,,,,,,,,
28,S20,JunctionMerge,,,,,,,,
29,S21,No generalization,,,,,,,,
24 22 20 18,S17 S15 S13 S11,Multi-Multi Omission MergeJunctionMerge,,,,,,,,
23 21 19 14 16,S16 S14 S12,Abstraction to show existence,,,,,,,,
52,S30,No generalization,,,,,,,,
30 31,S22,OmissionMergeRoundAboutCollapse,,,,,,,,
62,S39,No generalization,,,,,,,,
Features missing in sketch map,3,26,32,33,35,36,47,48,54,58
Features drawn extra in sketch map, ,,,,,,,,,
