BaseId , SketchId , Generalization Type,,,,,,,,,,,,,
23,S0,No generalization,,,,,,,,,,,,,
21 19 17 15 12,S1 S2 S3,Multi-Multi Omission Merge,,,,,,,,,,,,,
22 20 18 16 14,S4 S5 S6,Abstraction to show existence,,,,,,,,,,,,,
31,S7,No generalization,,,,,,,,,,,,,
50,S8,No generalization,,,,,,,,,,,,,
13,S9,No generalization,,,,,,,,,,,,,
11,S10,RoundAboutCollapse,,,,,,,,,,,,,
1,S11,No generalization,,,,,,,,,,,,,
0,S12,RoundAboutCollapse,,,,,,,,,,,,,
10,S13,RoundAboutCollapse,,,,,,,,,,,,,
5,S14,RoundAboutCollapse,,,,,,,,,,,,,
25,S15,JunctionMerge,,,,,,,,,,,,,
27,S16,JunctionMerge,,,,,,,,,,,,,
3,S17,JunctionMerge,,,,,,,,,,,,,
26,S18,JunctionMerge,,,,,,,,,,,,,
4,S19,No generalization,,,,,,,,,,,,,
2,S20,No generalization,,,,,,,,,,,,,
30,S21,No generalization,,,,,,,,,,,,,
28,S22,No generalization,,,,,,,,,,,,,
29,S23,No generalization,,,,,,,,,,,,,
34 33 32,S24,Amalgamation,,,,,,,,,,,,,
36,S25,No generalization,,,,,,,,,,,,,
37,S26,No generalization,,,,,,,,,,,,,
47 46 45 44,S27,Amalgamation,,,,,,,,,,,,,
Features missing in sketch map,6,7,8,9,24,35,38,39,40,41,42,43,48,49,51
Features drawn extra in sketch map, ,,,,,,,,,,,,,,
